Positivos,Negativos
"""Tenho só elogios à loja Pichau! No ano passado montei um computador gamer pra minha filha e não tive nenhum problema com entrega e com o produto.""","""Muito péssimo cobrança de frete para um produto com valor mais elevado """
"""Sempre que possivel compro na Pichau""","""Já efetuei uma compra na Pichau na Black Friday de 2020, naquela compra houve alguns problemas e minha compra demorou para chegar, mas enfim chegou."""
"""Preços competitivos nivel major, prazo e frete ok, confiança 100%. Recomendo e de toda busca na internet, acabo sempre caindo aqui! Melhor preço e credibilidade indiscutivel. ""","""Os preços são flutuantes. no site aparece uma informação e no checkout do carrinho de compras o valor muda."""
"""Preço bom""","""so da para pagar pelo pay pal podia da pr pagar direto com o cartão"""
"""Excelente Atendimento, Entrega e Produtos.""","""Sendo bem objetivo... independente do valor do produto... o atendimento é muito ruim. Descaso total com cliente. """
"""Top demais 😁😁😁""","""Os preços não são tão bons assim e as opções de fretes são extremamente caras e inviáveis. Só finalizei a comprar porque eu realmente precisa e o preço estava em conta no momento"""
"""confiabilidade e preço""","""Mercado pago atrasou minha compra por questões de segurança e não resolveram o problema, por sorte havia a opção do paypal, no qual realizei o cadastro e o pagamento foi aprovado."""
"""Facilidade em comprar e muita variedade""","""Produto chegou danificado. E a única opção que Pichau Informática deu foi eu reembalar o produto (que é volumoso para andar de ônibus), pegar meu dinheiro e pagar uma postagem lá pra outro Estado. Ou seja, eles entregaram aqui na minha porta o produto defeituoso, mas eu tenho que me virar pra eles resolverem. Não recomendo. Empresa sem qualidade. Já estou abrindo reclamações no site de consumidor e vou gravar um vídeo no canal YouTube desse péssimo pós venda."""
"""Produtos de qualidade e bastante informações técnicas""","""As compras chegaram com alguns problemas."""
""".""","""Tem má fama de entregar produtos trocados."""
"""Primeira vez em que compro na loja. Loja fácil para fazer e fechar a compra. Vou pagar o bleto e aguardar. Por enquanto não posso opinar sobre os produtos. Nunca comprei dessa marca""","""Em uma compra de 800 reais com pagamento à vista, acho um absurdo não receber frete grátis, ainda mais que é apenas um monitor que não pesa nem 5 quilos. Numa situação normal, deixaria de fazer a compra só por conta disso. Mas como preciso urgentemente do monitor, não tinha opção."""
"""Loja confiavel nunca tive problemas""","""O preço poderia ser mais em conta"""
"""Produtos bem embalados e o prazo bem antes do previsto. Ótimo.""","""Na primeira compra foi cobrado o dobro do valor. Tive que realizar uma nova compra para sair o valor certo, porém no momento de imprimir o boleto, a propaganda nessa pesquisa ficou na frente e não fechou por nada. Tive que solicitar a segunda via do boleto para poder realizar o pagamento. """
""".......................................""","""SISTEMA DE PAGAMENTO DA PAYPAL E MUITO CONFUSO, APÓS VARIAS TENTATIVAS DE PAGAMENTO DEU CERTO, MESMO APOS O CARTAO JA LIBERADO TIVEMOS QUE REFAZER A OPERACAO VARIAS VEZES."""
"""Ótima loja ! Sempre que têm preço bom, eu tenho como preferência e ainda recomendo.""","""A loja não atualizou as informações de rastreio da entrega e não tive visibilidade do processo e prazos de entrega. Recebi o produto e ainda constava no sistema o status de ""aguardando coleta da transportadora""."""
"""Quero parabenizar a loja e a transportadora pela agilidade na entrega dos produtos. Fiquei muito satisfeito!""","""Logística péssima, demora absurda no envio e péssima empresa contratada pra transporte. Desistam da Intellipost, péssima."""
"""A loja é muito boa, produtos variados, bom preço em comparação as demais e possui muitas formas de entrega, o que é ótimo. Esta foi minha primeira compra pela loja mas ja recomendei a amigos que fizeram compra na mesma.""","""Poderiam abrir um canal de chat online com atendimento direto de facil acesso e informações claras. Poderiam também, utilizar o telefone para atendimento de chamadas pois tentei inumeras vezes de telefone particular e corporativo e não conseguimos respostas. Remover as respostas automaticas enviadas pelos atendentes pois não é isso que o consumidor precisa caso contrário podem deixar o menu do chatbot. Dificil comunicação em respostas a SLA. O site faz alteração com delay se não cuidar pode gerar cobrnaças e daição de componentes/produtos diferentes. O preço é razoavel, e a montagem de costumização ébem prática. O que pecou e muito é a distancia com cliente, engessado de mais. Poderiam classificar os clientes para um melhor atendimento. No restante a estrutura do ambiente gostei, muito bem arquitetado. """
"""Excelente empresa, entrega tudo como combinado e no prazo correto. Nota 10!""","""1-Comprei um gabinete Lark(GABINETE DA MARCA PICHAU) que veio sem as baias que é um item que vem junto com o gabinete. (Confirmei que vem junto com o atendimento do facebook.) Outra reclamação é que ao invés de me enviar as baias imediatamente, sendo que, sem elas não consigo montar o hd no pc foi aberto um ticket para me responderem em 24hrs úteis, e fizeram isso numa sexta feita, ou seja vou perder meu final de semana e mais alguns dias da outra semana até me responderem, e ainda é por e-mail que talvez demorem mais uns dias para me enviarem (se enviarem né....) 2-Falta adicionar o pix nos pagamentos."""
"""Muito bom""","""Infelizmente havia desconto apenas em boleto, costumo utilizar cartão de credito"""
"""Uma loja com produtos competitivos e que parecem ter uma boa qualidade""","""Compra ainda não chegou, mas ainda está dentro do prazo. Espero que chegue essa semana para poder avaliar a qualidade dos produtos. """
"""Site bem claro e explicativo com dicas importantes dos produtos""","""A loja é bem direta no assunto, sem muita decoração deixando a navegação fluída, mas senti falta de um frete mais barato ou até gratuito considerando os valores comprados."""
"""Produtos de qualidade. Sempre entregam no prazo. ""","""Atendimentos péssimos, porém bons preços """
"""Boa loja""","""Método de pagamento cartão bem complicado Nunca tive essa dificuldade em outras lojas, pedido cancelado por alto risco no pagamento"""
"""Site excelente, com informações completas dos produtos e preço bom dentre outras opções no mercado. O produto ainda não chegou para eu poder avaliar melhor, mas, pelas ""especificações x preço"" eu recomendo.""","""Por favor, tirem a Braspress como opção de entrega, eles são incompetentes e incapazes de atender o cliente, ou sequer entregar algo no prazo. Mais parecem um scam do que uma empresa séria."""
"""Produtos de qualidade, seriedade na negociação. Sempre chegou no prazo indicado.""","""A opção de produtos de informática no geral é bem escassa no quesito baixo preço. Os gabinetes mais baratos chegam até a ser feios, e ainda assim bem caros."""
"""Muito boa experiência, qualidade do produto superior do que eu esperava por causa do preço""","""Infelizmente não tenho Obtido Informações atualizadas sobre o Envio do Produto."""
