review,link
"Demora no envio do produto adquirido
Olá. Dia 30 de Março de 2021 comprei uma placa de vídeo pelo site da Pichau, se passou o feriado todo da p...
Em réplica | Há 5 dias | Guarujá",https://www.reclameaqui.com.br/pichau-informatica/demora-no-envio-do-produto-adquirido_KJeDVjP3EiF_p0T_/
"Cadeira Gamer
No dia 23/02 realizei a compra de uma cadeira gamer (pedido: 1002519640), porém no segundo dia a rodinha quebrou, entr...
Respondida | Há 5 dias | Passo Fundo",https://www.reclameaqui.com.br/pichau-informatica/cadeira-gamer_kYwd3DsV7mniJzbM/
"Atraso na entrega do produto
No dia 10/03 fiz a compra de um computador, onde o mesmo não foi entregue até o momento. O produto era para ser entreg...
Respondida | Há 5 dias | Teresópolis",https://www.reclameaqui.com.br/pichau-informatica/atraso-na-entrega-do-produto_28WLFs_uWtg0wOLK/
"Defeito Pc gamer
Boa tarde.Comprei um PC gamer e está dando muita queda de FPS para o nível dele.Gostaria de fazer a ...
Respondida | Há 5 dias | São Paulo",https://www.reclameaqui.com.br/pichau-informatica/defeito-pc-gamer_HHMYjUMz085e4lgy/
"Gabinete gamer pichau não funciona
Fiz a compra do Pc no dia 21/02/2021, o Pc chegou dia 01/03/2021, até então foi até rápido, porém quando fui ligar pra...
Respondida | Há 5 dias | João Monlevade",https://www.reclameaqui.com.br/pichau-informatica/gabinete-gamer-pichau-nao-funciona_YIfGhL9FFfO6j6Ob/
"MAL Atendimento SAC - PICHAU a pior experiência em toda minha vida!
Fiz uma reclamação anterio referente a PICHAU ter enviado seus produtos e ter esquecido um item no meu pedido(PLACA MÃ...
Respondida | Há 5 dias | Barueri",https://www.reclameaqui.com.br/pichau-informatica/mal-atendimento-sac-pichau-a-pior-experiencia-em-toda-minha-vida_pptTNK4ZpYKF4jVJ/
"Cancelamento virou novela
Comprei um Headset em 19 de fevereiro, acabou que veio com defeito, troquei por outro modelo e tive o azar de vir com ...
Respondida | Há 5 dias | Lages",https://www.reclameaqui.com.br/pichau-informatica/cancelamento-virou-novela_oSzSZsckfCQPezSS/
"Recebi o computador todo danificado
Recebi o produto dia 01/04/2021 por volta das 17:00/18:00, quando visualizei a caixa vi que era muito grande, quando p...
Respondida | Há 5 dias | Franca",https://www.reclameaqui.com.br/pichau-informatica/recebi-o-computador-todo-danificado_mO0jMO0eSUfXH97D/
"Recusa a receber devolução
Eu comprei um kit upgrade que gerou o número de pedido 1002620794, dentro do direito de desistir da compra por até 7 d...
Respondida | Há 5 dias | Belo Horizonte",https://www.reclameaqui.com.br/pichau-informatica/recusa-a-receber-devolucao_M_2xxUL2AJGgdEgH/
"Meu PC faz dois meses q venho com defeito e ate hj nao arrumaram
Ate hj não solucionaram meu problema meu PC foi para garantia pela segunda vez e já fazem 2 semanas q saiu da minha ca...
Respondida | Há 6 dias | Santana do Livramento",https://www.reclameaqui.com.br/pichau-informatica/meu-pc-faz-dois-meses-q-venho-com-defeito-e-ate-hj-nao-arrumaram_acabkB6B73JKUT1n/
"Problema não resolvido.
Fiz uma compra na Loja Pichau de PC, já fiz a devolução do produto e a mesma não está dando resposta do estorno do val...
Respondida | Há 6 dias | Fortaleza",https://www.reclameaqui.com.br/pichau-informatica/problema-nao-resolvido_K67yFvbGqY96NvWK/
"ATRASO NO EMBARQUE
Comprei uma placa de vídeo RTX 3070, produto nada barato, gerei o boleto e logo vi que o mesmo saiu de estoque, o pedi...
Resolvido | Há 6 dias | Veranópolis",https://www.reclameaqui.com.br/pichau-informatica/atraso-no-embarque_aTgwvExvRoi0K-3p/
"Pós venda bom e atende bem ao cliente.
vim aqui apenas para elogiar a Pichau, a um tempo atrás tive um problema no meu pedido ( ticket 882326) e a Pichau ate...
Resolvido | Há 6 dias | Brasília",https://www.reclameaqui.com.br/pichau-informatica/pos-venda-bom-e-atende-bem-ao-cliente_w7qiUGiDl089FBW3/
"Mesmo título Nova promessa velhos problemas
Como já havia reclamado por duas vezes aqui a empresa Pichau continua em falta comigo . Como solicitado ,enviei novame...
Não Resolvido | Há 6 dias | Rio de Janeiro",https://www.reclameaqui.com.br/pichau-informatica/mesmo-titulo-nova-promessa-velhos-problemas_RvKmiY6KDwDBi5_e/
"Sobre extorno
Comprei um computador na loja, e o mesmo chegou na minha residência com defeito entrei em contato para a devolução do ...
Respondida | Há 6 dias | Capão Bonito",https://www.reclameaqui.com.br/pichau-informatica/sobre-extorno_CAcrzE1RF2GU0lnK/
"Entrega feita pela metade
Comprei um mousepad e um cabo molex na Pichau. Pedido: 1002612000Só me enviaram o mousepad e o pedid...
Respondida | Há 6 dias | Rio de Janeiro",https://www.reclameaqui.com.br/pichau-informatica/entrega-feita-pela-metade_-J4diEzmPZFsi2Km/
"Utilizar creditos para compra
Se vocês tiverem algum problema com a compra e tiver que devolver o produto e receber créditos para compra futura, NÃO...
Respondida | Há 6 dias | São Paulo",https://www.reclameaqui.com.br/pichau-informatica/utilizar-creditos-para-compra_h10he4rf55x1EqPT/
"Processo de entrega atrasado e só respondem para aguardar
Meu pedido é 1002631236, fiz a compra de duas placas de video, paguei e as 48 horas para encaminhar já expiraram e voc...
Resolvido | Há 6 dias | Barueri",https://www.reclameaqui.com.br/pichau-informatica/processo-de-entrega-atrasado-e-so-respondem-para-aguardar_Fzx10InP_YfCVqzC/
"Não me retornam
No dia 23/02 realizei a compra de uma cadeira gamer (pedido: 1002519640), porém no segundo dia a rodinha quebrou, entr...
Em réplica | Há 6 dias | Passo Fundo",https://www.reclameaqui.com.br/pichau-informatica/nao-me-retornam_AqpKK5kFGMxKTq0R/
"3 meses e nada de reembolso
Comprei 2 PCs gamer na Pichau que vieram com defeito, logo em menos de 1 semana pedi reembolso e já tem quase 3 ...
Respondida | Há 6 dias | Mogi das Cruzes",https://www.reclameaqui.com.br/pichau-informatica/3-meses-e-nada-de-reembolso_k6iSmHg58OndJ5kA/
"Pichau vende sem estoque e não devolve meu dinheiro
No dia 19/03 efetuei o pedido # 1002602928 de um teclado na Pichau, o qual está esta desde o dia 22/03 com o status em...
Resolvido | Há 6 dias | Francisco Morato",https://www.reclameaqui.com.br/pichau-informatica/pichau-vende-sem-estoque-e-nao-devolve-meu-dinheiro_6EisdOMB6R0mA04Y/
"Pichau demora para devolver o dinheiro em caso de cancelamento e ninguém responde os emails
Realizei uma compra no dia 15/03/2021 e a PICHAU enrrolou para entregar o produto, no mesmo dia que eu solicitei o can...
Em réplica | Há 6 dias | São José dos Campos",https://www.reclameaqui.com.br/pichau-informatica/pichau-demora-para-devolver-o-dinheiro-em-caso-de-cancelamento-e-ninguem-re_V0qMBdiqofJdNCKY/
"Envio de produto errado e demora na tratativa do problema
Realizei a compra de um Computador Gamer dia 01/03/21, após um longo tempo recebi o pedido no entanto me enviaram o pe...
Respondida | Há 6 dias | Guarulhos",https://www.reclameaqui.com.br/pichau-informatica/envio-de-produto-errado-e-demora-na-tratativa-do-problema_y9aBUUMfVUvoQHYY/
"CUIDADO! ATENDIMENTO TELEFÔNICO NÃO EXISTE
Efetuei um pedido de no. 1002641520Paguei por frete expresso entrega de 1-3 dias úteis.Informa...
Respondida | Há 6 dias | São Paulo",https://www.reclameaqui.com.br/pichau-informatica/cuidado-atendimento-telefonico-nao-existe_oTggrUw5w6nNFdtP/
"PC não da vídeo, não funciona teclado e mouse.
Recebi o computador da Pichau Informatica após dias de transtorno, após duas semanas com o computador o mesmo não está...
Respondida | Há 6 dias | São Paulo",https://www.reclameaqui.com.br/pichau-informatica/pc-nao-da-video-nao-funciona-teclado-e-mouse_6IPxquKTkUfIwgMx/
"Pagamento não funciona
Ao finalizar pedido por boleto o botão não realiza o processo
Respondida | Há 7 dias | Fraiburgo",https://www.reclameaqui.com.br/pichau-informatica/pagamento-nao-funciona_RwA4UEfhsVDYMkOw/
"Recebi o computador de outra pessoa, hoje faz um mês que realizei a compra e ainda não recebi nada em casa
Um pc que era pra ir para o Paraná chegou aqui em casa no lugar do meu, apesar de um grande rótulo na caixa constando ...
Respondida | Há 7 dias | Itajaí",https://www.reclameaqui.com.br/pichau-informatica/recebi-o-computador-de-outra-pessoa-hoje-faz-um-mes-que-realizei-a-compra_cYNePhlKPjHp8eVq/
"Não recebi minha encomenda
Infelizmente vocês me deixaram na mão pela 2 vez é inacreditável o nível de vocês, tô muito puto com a transportadora ...
Resolvido | Há 7 dias | Salvador",https://www.reclameaqui.com.br/pichau-informatica/nao-recebi-minha-encomenda_0DEqvwUeSd9vlPbz/
"EMPRESA NÃO RESPONDE EMAILS E NEM ATENDE SEU TELEFONE
DEVOLUÇÃO PRODUTO NF n 001.607.603 COM MUITO CUSTO, CONSEGUI COM QUE A EMPRESA RECOLHESSE O COMPUTADOR VEN...
Respondida | Há 7 dias | Sorocaba",https://www.reclameaqui.com.br/pichau-informatica/empresa-nao-responde-emails-e-nem-atende-seu-telefone_mPBx8UqJgLIBKD3H/
"PC com defeito, acionando a garantia
No dia 28/07/2020 efetuei a compra de um PC Gamer Pichau, ndo pedido 1001921782, no valor de $6.057,55 à vista. O mesm...
Respondida | Há 7 dias | Santa Margarida",https://www.reclameaqui.com.br/pichau-informatica/pc-com-defeito-acionando-a-garantia_O9akB6yttXJUrBfQ/
"Atraso/Demora com a garantia
Comprei um computador na empresa e com menos de 60 dias de uso o mesmo apresentou defeito. Entrei em contato com a emp...
Não Resolvido | Há 7 dias | Montes Claros",https://www.reclameaqui.com.br/pichau-informatica/atraso-demora-com-a-garantia_XSAwekCvZBzWL0Og/
"Atraso da entrega!
No dia 18 de Março realizei uma compra na Pichau, o prazo estipulado foi 05 dias uteis para entrega. Passou a data pre...
Resolvido | Há 7 dias | Vinhedo",https://www.reclameaqui.com.br/pichau-informatica/atraso-da-entrega_lOj5NqxHIqzHU_Os/
"DEFEITO Mouse Gamer Redragon Cobra Chroma RGB 10000DPI, M711
Fiz a compra e o mouse não funcionou.Segui todo o procedimento descrito pela PICHAU, até postar o produto de vo...
Respondida | Há 7 dias | Volta Redonda",https://www.reclameaqui.com.br/pichau-informatica/defeito-mouse-gamer-redragon-cobra-chroma-rgb-10000dpi-m711_kFeWM4hk2a7jArNW/
"Atraso na entrega
Já se passaram 10 dias do prazo, ja enviei alguns emails, já tentei o atendimento via site, não recebi nenhum posicion...
Respondida | Há 7 dias | São Paulo",https://www.reclameaqui.com.br/pichau-informatica/atraso-na-entrega_nzy3R8z_-xswsplI/
"PC gamer com monitor errado
Comprei um PC gamer de R$6.352,86 Pedido numero 1002611439, nota fiscal eu tenho o número dela mas não a recebi fisic...
Em réplica | Há 7 dias | Novo Hamburgo",https://www.reclameaqui.com.br/pichau-informatica/pc-gamer-com-monitor-errado_U3c-s6iTOqj8RkeE/
"Computador com defeito , fiz uma reclamação e nao me devolveram o dinheiro
Fiz uma reclamação, a empresa entrou em contato e disse que já estaria me dando reembolso , fiz uma compra dia 12/01 d...
Em réplica | Há 7 dias | Bom Sucesso de Itararé",https://www.reclameaqui.com.br/pichau-informatica/computador-com-defeito-fiz-uma-reclamacao-e-nao-me-devolveram-o-dinheiro_9EZpKUFvVzzyTkSo/
"Meu pedido foi cancelado. Porque???????
Comprei um computador "" PICHAU HOME, AMD RYZEN 3 2200G, 8GB DDR4, SSD 256GB, 500W, RAIDER"", pedido 100264146...
Não Resolvido | Há 7 dias | Salvador",https://www.reclameaqui.com.br/pichau-informatica/meu-pedido-foi-cancelado-porque_DU2F6n6tZH-V5a4p/
"Computador Zero nunca funcionou
Comprei pela segunda vez nesta empresa um computador gamer, porém desde o recebimento ha mais de 30 dias nunca funcion...
Respondida | Há 7 dias | São Paulo",https://www.reclameaqui.com.br/pichau-informatica/computador-zero-nunca-funcionou_wU6eRDVmJAKrZn4M/
"Placa mãe com defeito
Tentei entrar em contato com o SAC de Pichau desde dia 2 de abril, sendo que eles pedem um prazo máximo de 24h pra pod...
Respondida | Há 7 dias | Santo Antônio do Leverger",https://www.reclameaqui.com.br/pichau-informatica/placa-mae-com-defeito_Ydls4hn1Mrlwx7vp/
"Cadeira gamer péssima qualidade
Comprei uma Cadeira Gamer Pichau Mooke Branca, BY-8214-WHITE e com pouco tempo de uso o braço esquerdo soltou o suport...
Respondida | Há 7 dias | Hortolândia",https://www.reclameaqui.com.br/pichau-informatica/cadeira-gamer-pessima-qualidade_0cqhHFyYN1WRVfdN/
"Brinde estragado.
Recebi um brinde por conta do transtorno do meu monitor vir USADO e com defeito ( dead pixel) e o pessoal enviou 3...
Em réplica | Há 8 dias | Goiânia",https://www.reclameaqui.com.br/pichau-informatica/brinde-estragado_AI8IWlwVGzCNBPkh/
